Radius   Mass(r<R) logRho    Lum.      Temp.        logPres.  logOpac.
  2.0366   1.0000  -6.0856   1.4256 10937.3946   5.7824   2.3713
  2.0366   1.0000  -6.0749   1.4256 10995.2822   5.7961   2.3936
  2.0365   1.0000  -6.0628   1.4256 11059.7352   5.8114   2.4182
  2.0365   1.0000  -6.0511   1.4256 11121.6098   5.8263   2.4414
  2.0364   1.0000  -6.0398   1.4256 11181.1136   5.8407   2.4635
  2.0364   1.0000  -6.0288   1.4256 11238.4321   5.8546   2.4846
  2.0363   1.0000  -6.0182   1.4256 11293.7308   5.8681   2.5046
  2.0363   1.0000  -6.0027   1.4256 11373.8706   5.8876   2.5333
  2.0362   1.0000  -5.9831   1.4256 11473.9901   5.9123   2.5685
  2.0361   1.0000  -5.9645   1.4256 11568.2144   5.9356   2.6009
  2.0360   1.0000  -5.9511   1.4256 11634.9745   5.9524   2.6236
  2.0359   1.0000  -5.9425   1.4256 11678.2884   5.9632   2.6382
  2.0359   1.0000  -5.9299   1.4256 11741.5674   5.9789   2.6592
  2.0358   1.0000  -5.9138   1.4256 11821.7816   5.9991   2.6856
  2.0357   1.0000  -5.8946   1.4256 11917.3746   6.0230   2.7165
  2.0356   1.0000  -5.8728   1.4256 12024.6601   6.0500   2.7507
  2.0355   1.0000  -5.8556   1.4256 12108.6869   6.0714   2.7771
  2.0354   1.0000  -5.8424   1.4256 12173.3348   6.0877   2.7971
  2.0354   1.0000  -5.8297   1.4256 12235.6087   6.1035   2.8161
  2.0353   1.0000  -5.8120   1.4256 12322.9788   6.1254   2.8424
  2.0352   1.0000  -5.7956   1.4256 12402.3006   6.1457   2.8660
  2.0351   1.0000  -5.7854   1.4256 12451.9956   6.1583   2.8806
  2.0351   1.0000  -5.7755   1.4256 12500.3089   6.1705   2.8946
  2.0350   1.0000  -5.7611   1.4256 12570.8292   6.1882   2.9148
  2.0349   1.0000  -5.7472   1.4256 12637.7781   6.2053   2.9338
  2.0349   1.0000  -5.7383   1.4256 12681.3167   6.2163   2.9460
  2.0348   1.0000  -5.7253   1.4256 12745.0680   6.2323   2.9636
  2.0347   1.0000  -5.7087   1.4256 12826.2207   6.2527   2.9858
  2.0346   1.0000  -5.6928   1.4256 12903.8802   6.2722   3.0067
  2.0345   1.0000  -5.6813   1.4256 12959.7372   6.2863   3.0215
  2.0345   1.0000  -5.6702   1.4256 13014.4780   6.3000   3.0359
  2.0344   1.0000  -5.6525   1.4256 13102.2243   6.3218   3.0587
