Radius   Mass(r<R) logRho    Lum.      Temp.        logPres.  logOpac.
  1.9647   0.9995  -2.5350   1.4256 94584.4437  10.5120   4.6312
  1.9639   0.9994  -2.5254   1.4256 95717.8712  10.5273   4.6225
  1.9631   0.9994  -2.5157   1.4256 96864.1992  10.5426   4.6138
  1.9623   0.9994  -2.5061   1.4256 98023.6200  10.5578   4.6049
  1.9615   0.9994  -2.4964   1.4256 99196.3529  10.5731   4.5959
  1.9606   0.9993  -2.4868   1.4256 100382.6447  10.5884   4.5868
  1.9598   0.9993  -2.4772   1.4256 101582.7608  10.6037   4.5776
  1.9589   0.9993  -2.4675   1.4256 102796.9605  10.6190   4.5682
  1.9581   0.9993  -2.4579   1.4256 104025.4803  10.6343   4.5587
  1.9572   0.9993  -2.4482   1.4256 105268.5338  10.6495   4.5491
  1.9563   0.9992  -2.4386   1.4256 106526.3295  10.6648   4.5392
  1.9554   0.9992  -2.4290   1.4256 107799.1077  10.6801   4.5291
  1.9545   0.9992  -2.4193   1.4256 109087.1619  10.6954   4.5188
  1.9536   0.9991  -2.4097   1.4256 110390.8391  10.7106   4.5081
  1.9527   0.9991  -2.4001   1.4256 111710.5217  10.7259   4.4972
  1.9517   0.9991  -2.3904   1.4256 113046.5971  10.7412   4.4859
  1.9508   0.9991  -2.3808   1.4256 114399.4430  10.7564   4.4743
  1.9498   0.9990  -2.3712   1.4256 115769.4293  10.7717   4.4625
  1.9488   0.9990  -2.3616   1.4256 117156.9267  10.7869   4.4503
  1.9479   0.9990  -2.3519   1.4256 118562.3182  10.8022   4.4378
  1.9469   0.9989  -2.3423   1.4256 119986.0037  10.8175   4.4251
  1.9459   0.9989  -2.3327   1.4256 121428.3981  10.8327   4.4121
  1.9448   0.9988  -2.3231   1.4256 122889.9262  10.8480   4.3987
  1.9438   0.9988  -2.3136   1.4256 124371.0161  10.8632   4.3850
  1.9428   0.9988  -2.3040   1.4255 125872.0994  10.8785   4.3710
  1.9417   0.9987  -2.2944   1.4255 127393.6119  10.8937   4.3566
  1.9406   0.9987  -2.2849   1.4255 128935.9942  10.9090   4.3419
  1.9395   0.9986  -2.2753   1.4255 130499.6899  10.9242   4.3268
  1.9384   0.9986  -2.2658   1.4255 132085.1435  10.9395   4.3114
  1.9373   0.9985  -2.2562   1.4255 133692.7991  10.9547   4.2957
  1.9362   0.9985  -2.2467   1.4255 135323.1044  10.9700   4.2797
  1.9351   0.9984  -2.2371   1.4255 136976.5143  10.9852   4.2634
  1.9339   0.9984  -2.2276   1.4255 138653.4924  11.0005   4.2467
  1.9328   0.9983  -2.2181   1.4255 140354.5100  11.0157   4.2297
  1.9316   0.9983  -2.2086   1.4255 142080.0428  11.0309   4.2124
  1.9304   0.9982  -2.1991   1.4255 143830.5692  11.0462   4.1948
  1.9292   0.9982  -2.1921   1.4255 145151.6510  11.0576   4.1815
  1.9286   0.9981  -2.1849   1.4255 146504.2146  11.0691   4.1679
  1.9273   0.9981  -2.1755   1.4255 148319.3288  11.0843   4.1496
  1.9261   0.9980  -2.1660   1.4255 150161.1219  11.0995   4.1311
  1.9248   0.9979  -2.1566   1.4255 152030.0763  11.1148   4.1123
  1.9236   0.9979  -2.1472   1.4255 153926.6743  11.1300   4.0932
  1.9223   0.9978  -2.1377   1.4255 155851.3938  11.1453   4.0740
  1.9210   0.9977  -2.1283   1.4254 157804.7034  11.1605   4.0546
  1.9196   0.9976  -2.1189   1.4254 159787.0579  11.1758   4.0351
  1.9183   0.9975  -2.1095   1.4254 161798.9073  11.1910   4.0155
  1.9169   0.9975  -2.1001   1.4254 163840.7171  11.2062   3.9957
  1.9156   0.9974  -2.0907   1.4254 165912.9798  11.2215   3.9758
  1.9142   0.9973  -2.0814   1.4254 168016.2157  11.2367   3.9556
  1.9128   0.9972  -2.0720   1.4254 170150.9533  11.2520   3.9353
  1.9114   0.9971  -2.0627   1.4254 172317.7067  11.2672   3.9148
  1.9099   0.9970  -2.0533   1.4254 174516.9694  11.2824   3.8943
  1.9085   0.9969  -2.0440   1.4254 176749.2189  11.2977   3.8737
  1.9070   0.9968  -2.0346   1.4253 179014.9300  11.3129   3.8531
  1.9055   0.9967  -2.0253   1.4253 181314.5830  11.3282   3.8325
  1.9040   0.9966  -2.0160   1.4253 183648.6635  11.3434   3.8119
  1.9025   0.9965  -2.0067   1.4253 186017.6640  11.3587   3.7913
  1.9009   0.9964  -1.9974   1.4253 188422.0875  11.3739   3.7707
  1.8993   0.9962  -1.9881   1.4253 190862.4471  11.3892   3.7500
  1.8977   0.9961  -1.9788   1.4252 193339.2629  11.4044   3.7293
  1.8961   0.9960  -1.9695   1.4252 195853.0590  11.4196   3.7087
  1.8945   0.9959  -1.9602   1.4252 198404.3638  11.4349   3.6880
  1.8929   0.9957  -1.9510   1.4252 200993.7144  11.4501   3.6675
  1.8912   0.9956  -1.9417   1.4252 203621.6557  11.4654   3.6471
  1.8895   0.9954  -1.9324   1.4252 206288.7342  11.4806   3.6268
  1.8878   0.9953  -1.9232   1.4251 208995.4942  11.4959   3.6065
  1.8861   0.9951  -1.9139   1.4251 211742.4793  11.5111   3.5863
  1.8843   0.9950  -1.9047   1.4251 214530.2381  11.5264   3.5661
  1.8826   0.9948  -1.8954   1.4251 217359.3262  11.5416   3.5458
  1.8808   0.9946  -1.8885   1.4250 219495.5051  11.5530   3.5308
  1.8799   0.9945  -1.8816   1.4250 221681.6088  11.5645   3.5155
  1.8780   0.9943  -1.8723   1.4250 224616.4685  11.5798   3.4955
  1.8762   0.9942  -1.8631   1.4250 227594.6470  11.5950   3.4756
  1.8743   0.9940  -1.8539   1.4249 230616.7565  11.6103   3.4559
  1.8724   0.9938  -1.8446   1.4249 233683.4287  11.6255   3.4363
  1.8705   0.9936  -1.8354   1.4249 236795.2990  11.6408   3.4167
  1.8686   0.9934  -1.8262   1.4248 239953.0010  11.6561   3.3972
  1.8666   0.9931  -1.8170   1.4248 243157.1724  11.6713   3.3778
  1.8646   0.9929  -1.8078   1.4248 246408.4698  11.6866   3.3584
  1.8626   0.9927  -1.7986   1.4247 249707.5788  11.7019   3.3392
  1.8606   0.9924  -1.7894   1.4247 253055.2168  11.7171   3.3202
  1.8585   0.9922  -1.7802   1.4246 256452.1250  11.7324   3.3014
  1.8564   0.9919  -1.7709   1.4246 259899.0503  11.7477   3.2827
  1.8543   0.9917  -1.7617   1.4245 263396.7312  11.7630   3.2641
  1.8522   0.9914  -1.7525   1.4245 266945.8854  11.7782   3.2455
  1.8500   0.9911  -1.7433   1.4244 270547.1970  11.7935   3.2269
  1.8478   0.9908  -1.7341   1.4244 274201.3096  11.8088   3.2085
  1.8456   0.9905  -1.7249   1.4243 277908.8290  11.8241   3.1902
  1.8434   0.9902  -1.7157   1.4243 281670.3564  11.8394   3.1722
  1.8411   0.9899  -1.7065   1.4242 285486.5421  11.8546   3.1544
  1.8388   0.9896  -1.6973   1.4241 289358.1130  11.8699   3.1368
  1.8365   0.9893  -1.6882   1.4241 293285.8694  11.8852   3.1194
  1.8341   0.9889  -1.6790   1.4240 297270.6574  11.9005   3.1021
  1.8317   0.9886  -1.6698   1.4239 301313.3472  11.9158   3.0848
  1.8293   0.9882  -1.6606   1.4238 305414.8322  11.9311   3.0677
  1.8269   0.9878  -1.6514   1.4238 309576.0189  11.9464   3.0506
  1.8244   0.9874  -1.6422   1.4237 313797.8073  11.9617   3.0338
  1.8219   0.9870  -1.6330   1.4236 318081.0766  11.9770   3.0171
  1.8194   0.9866  -1.6238   1.4235 322426.6885  11.9923   3.0006
  1.8168   0.9862  -1.6146   1.4234 326835.5135  12.0077   2.9842
  1.8142   0.9857  -1.6053   1.4233 331308.4513  12.0230   2.9680
  1.8116   0.9853  -1.5961   1.4232 335846.4347  12.0383   2.9520
  1.8090   0.9848  -1.5869   1.4231 340450.4233  12.0536   2.9362
  1.8063   0.9843  -1.5777   1.4230 345121.3960  12.0689   2.9206
  1.8036   0.9838  -1.5685   1.4228 349860.3519  12.0843   2.9051
  1.8008   0.9833  -1.5594   1.4227 354668.2976  12.0996   2.8897
  1.7980   0.9828  -1.5502   1.4226 359546.2214  12.1149   2.8745
  1.7952   0.9822  -1.5410   1.4225 364495.0782  12.1303   2.8593
  1.7924   0.9817  -1.5318   1.4223 369515.7989  12.1456   2.8442
  1.7895   0.9811  -1.5225   1.4222 374609.3300  12.1610   2.8292
  1.7866   0.9805  -1.5133   1.4220 379776.6651  12.1763   2.8144
  1.7836   0.9799  -1.5041   1.4218 385018.8462  12.1917   2.7998
  1.7807   0.9793  -1.4949   1.4217 390336.9494  12.2070   2.7854
  1.7776   0.9786  -1.4857   1.4215 395732.0698  12.2224   2.7713
  1.7746   0.9779  -1.4765   1.4213 401205.3217  12.2377   2.7574
  1.7715   0.9772  -1.4673   1.4211 406757.8312  12.2531   2.7437
  1.7684   0.9765  -1.4581   1.4209 412390.7113  12.2684   2.7303
  1.7652   0.9758  -1.4488   1.4207 418105.0448  12.2838   2.7171
  1.7620   0.9751  -1.4396   1.4205 423901.8915  12.2992   2.7041
  1.7588   0.9743  -1.4327   1.4202 428280.1845  12.3107   2.6945
  1.7572   0.9739  -1.4258   1.4201 432754.1225  12.3222   2.6849
  1.7539   0.9731  -1.4166   1.4199 438762.1045  12.3376   2.6723
  1.7505   0.9722  -1.4074   1.4196 444856.6279  12.3530   2.6598
  1.7472   0.9714  -1.3981   1.4194 451038.9065  12.3683   2.6474
  1.7438   0.9705  -1.3889   1.4191 457310.1237  12.3837   2.6350
  1.7403   0.9696  -1.3797   1.4188 463671.4428  12.3991   2.6228
  1.7369   0.9687  -1.3705   1.4185 470124.0406  12.4145   2.6108
  1.7333   0.9677  -1.3613   1.4182 476669.1317  12.4299   2.5991
  1.7298   0.9667  -1.3520   1.4178 483307.9614  12.4452   2.5875
  1.7262   0.9657  -1.3428   1.4175 490041.7861  12.4606   2.5762
  1.7226   0.9646  -1.3336   1.4171 496871.8609  12.4760   2.5650
  1.7189   0.9636  -1.3244   1.4168 503799.4452  12.4914   2.5539
  1.7152   0.9625  -1.3152   1.4164 510825.8145  12.5068   2.5429
  1.7114   0.9613  -1.3059   1.4160 517952.2672  12.5221   2.5320
  1.7076   0.9602  -1.2967   1.4155 525180.1222  12.5375   2.5212
  1.7038   0.9590  -1.2875   1.4151 532510.7123  12.5529   2.5106
  1.6999   0.9577  -1.2783   1.4146 539945.3789  12.5683   2.5002
  1.6959   0.9564  -1.2691   1.4142 547485.4709  12.5837   2.4899
  1.6920   0.9551  -1.2599   1.4137 555132.3490  12.5990   2.4797
  1.6880   0.9538  -1.2506   1.4131 562887.3938  12.6144   2.4696
  1.6839   0.9524  -1.2414   1.4126 570752.0137  12.6298   2.4594
  1.6798   0.9510  -1.2334   1.4120 577707.0220  12.6432   2.4506
  1.6767   0.9499  -1.2253   1.4116 584782.9670  12.6567   2.4419
  1.6725   0.9484  -1.2161   1.4110 592956.4021  12.6721   2.4321
  1.6683   0.9469  -1.2069   1.4103 601244.9244  12.6874   2.4224
  1.6640   0.9453  -1.1977   1.4097 609650.0557  12.7028   2.4129
  1.6597   0.9437  -1.1885   1.4090 618173.3412  12.7182   2.4034
  1.6554   0.9421  -1.1793   1.4083 626816.3455  12.7335   2.3938
  1.6510   0.9404  -1.1701   1.4075 635580.6472  12.7489   2.3843
  1.6465   0.9386  -1.1608   1.4068 644467.8425  12.7642   2.3748
  1.6420   0.9369  -1.1516   1.4060 653479.5661  12.7796   2.3652
  1.6375   0.9350  -1.1424   1.4051 662617.5075  12.7949   2.3557
  1.6329   0.9331  -1.1332   1.4042 671883.4148  12.8103   2.3462
  1.6282   0.9312  -1.1240   1.4033 681279.0867  12.8256   2.3368
  1.6236   0.9292  -1.1148   1.4024 690806.3650  12.8410   2.3274
  1.6188   0.9272  -1.1057   1.4014 700467.1371  12.8563   2.3179
  1.6140   0.9251  -1.0965   1.4004 710263.3247  12.8716   2.3085
  1.6092   0.9230  -1.0873   1.3993 720196.8689  12.8870   2.2992
  1.6043   0.9208  -1.0781   1.3982 730269.7271  12.9023   2.2898
  1.5994   0.9185  -1.0689   1.3971 740483.8867  12.9176   2.2806
  1.5944   0.9162  -1.0597   1.3959 750841.3852  12.9330   2.2714
  1.5894   0.9138  -1.0505   1.3946 761344.3143  12.9483   2.2623
  1.5843   0.9114  -1.0413   1.3933 771994.8164  12.9636   2.2533
  1.5791   0.9089  -1.0344   1.3920 780044.4397  12.9751   2.2466
  1.5765   0.9076  -1.0275   1.3913 788251.9256  12.9866   2.2400
  1.5713   0.9050  -1.0184   1.3898 799281.1207  13.0019   2.2313
  1.5660   0.9024  -1.0092   1.3884 810465.8719  13.0172   2.2228
  1.5607   0.8997  -1.0000   1.3868 821808.5762  13.0326   2.2142
  1.5553   0.8969  -0.9908   1.3852 833311.6470  13.0479   2.2058
  1.5499   0.8940  -0.9816   1.3836 844977.5150  13.0632   2.1973
  1.5444   0.8911  -0.9724   1.3818 856808.6581  13.0785   2.1888
  1.5388   0.8881  -0.9632   1.3800 868807.6328  13.0939   2.1803
  1.5332   0.8850  -0.9540   1.3782 880977.0812  13.1092   2.1719
  1.5275   0.8819  -0.9460   1.3762 891744.2225  13.1226   2.1647
  1.5232   0.8795  -0.9391   1.3747 901099.6167  13.1341   2.1586
  1.5189   0.8770  -0.9311   1.3732 912164.0474  13.1475   2.1515
  1.5131   0.8737  -0.9219   1.3710 924951.6450  13.1628   2.1435
  1.5072   0.8703  -0.9127   1.3688 937922.1292  13.1782   2.1355
  1.5013   0.8668  -0.9035   1.3665 951078.3794  13.1935   2.1276
  1.4953   0.8632  -0.8943   1.3641 964423.3479  13.2088   2.1196
  1.4892   0.8595  -0.8851   1.3616 977960.0501  13.2242   2.1117
  1.4831   0.8558  -0.8759   1.3591 991691.5377  13.2395   2.1038
  1.4769   0.8519  -0.8667   1.3564 1005620.8801  13.2549   2.0959
  1.4706   0.8480  -0.8575   1.3536 1019751.1725  13.2702   2.0881
  1.4643   0.8439  -0.8483   1.3507 1034085.5732  13.2856   2.0803
  1.4579   0.8398  -0.8390   1.3478 1048627.3302  13.3010   2.0725
  1.4514   0.8356  -0.8298   1.3447 1063379.7751  13.3163   2.0649
  1.4449   0.8313  -0.8206   1.3414 1078346.2848  13.3317   2.0572
  1.4382   0.8269  -0.8114   1.3381 1093530.2502  13.3471   2.0496
  1.4316   0.8223  -0.8021   1.3346 1108935.0833  13.3625   2.0420
  1.4248   0.8177  -0.7929   1.3310 1124564.2509  13.3779   2.0343
  1.4180   0.8130  -0.7837   1.3273 1140421.3083  13.3933   2.0266
  1.4111   0.8081  -0.7744   1.3235 1156509.9039  13.4087   2.0189
  1.4041   0.8032  -0.7652   1.3194 1172833.7577  13.4241   2.0111
  1.3971   0.7981  -0.7559   1.3153 1189396.6245  13.4395   2.0032
  1.3899   0.7930  -0.7467   1.3110 1206202.2719  13.4549   1.9952
  1.3827   0.7877  -0.7374   1.3065 1223254.4877  13.4704   1.9871
  1.3755   0.7823  -0.7282   1.3019 1240557.1136  13.4858   1.9789
  1.3681   0.7768  -0.7189   1.2971 1258114.0711  13.5013   1.9706
  1.3606   0.7711  -0.7096   1.2921 1275929.3552  13.5167   1.9622
  1.3531   0.7654  -0.7003   1.2870 1294007.0129  13.5322   1.9537
  1.3455   0.7595  -0.6910   1.2816 1312351.1326  13.5477   1.9451
  1.3378   0.7535  -0.6817   1.2761 1330965.8540  13.5631   1.9364
  1.3300   0.7473  -0.6724   1.2704 1349855.3799  13.5786   1.9276
  1.3221   0.7410  -0.6631   1.2645 1369023.9748  13.5941   1.9188
  1.3142   0.7346  -0.6538   1.2583 1388475.9623  13.6096   1.9099
  1.3061   0.7281  -0.6445   1.2520 1408215.7262  13.6251   1.9009
  1.2979   0.7214  -0.6352   1.2454 1428247.7123  13.6407   1.8918
  1.2897   0.7146  -0.6259   1.2386 1448576.4204  13.6562   1.8826
  1.2813   0.7077  -0.6166   1.2315 1469206.3897  13.6717   1.8733
  1.2729   0.7006  -0.6072   1.2242 1490142.1983  13.6873   1.8639
  1.2644   0.6933  -0.5979   1.2167 1511388.4832  13.7028   1.8543
  1.2557   0.6860  -0.5886   1.2089 1532949.9688  13.7184   1.8444
  1.2470   0.6785  -0.5792   1.2008 1554831.4695  13.7340   1.8344
  1.2381   0.6708  -0.5699   1.1925 1577037.8556  13.7495   1.8242
  1.2292   0.6630  -0.5605   1.1838 1599574.0098  13.7651   1.8137
  1.2201   0.6550  -0.5535   1.1749 1616646.5382  13.7768   1.8058
  1.2155   0.6510  -0.5488   1.1703 1628166.3196  13.7846   1.8004
  1.2109   0.6469  -0.5441   1.1657 1639771.3261  13.7924   1.7949
  1.2063   0.6428  -0.5394   1.1609 1651462.1975  13.8002   1.7894
  1.2017   0.6386  -0.5347   1.1561 1663239.5837  13.8080   1.7839
  1.1970   0.6344  -0.5300   1.1513 1675104.1432  13.8158   1.7783
  1.1922   0.6302  -0.5254   1.1463 1687056.5379  13.8236   1.7727
  1.1875   0.6259  -0.5207   1.1413 1699097.4288  13.8315   1.7671
  1.1827   0.6216  -0.5160   1.1361 1711227.4753  13.8393   1.7614
  1.1779   0.6173  -0.5113   1.1309 1723447.3348  13.8471   1.7557
  1.1731   0.6129  -0.5066   1.1256 1735757.6630  13.8549   1.7500
  1.1682   0.6085  -0.5019   1.1203 1748159.1152  13.8627   1.7442
  1.1633   0.6040  -0.4972   1.1148 1760652.3505  13.8705   1.7385
  1.1584   0.5995  -0.4925   1.1092 1773238.0369  13.8783   1.7327
  1.1534   0.5950  -0.4878   1.1036 1785916.8518  13.8862   1.7269
  1.1484   0.5904  -0.4831   1.0979 1798689.4816  13.8940   1.7210
  1.1434   0.5858  -0.4784   1.0921 1811556.6204  13.9018   1.7152
  1.1384   0.5811  -0.4737   1.0861 1824518.9687  13.9096   1.7093
  1.1333   0.5764  -0.4690   1.0801 1837577.2324  13.9175   1.7033
  1.1281   0.5717  -0.4643   1.0740 1850732.1215  13.9253   1.6974
  1.1230   0.5669  -0.4596   1.0678 1863984.3512  13.9331   1.6914
  1.1178   0.5621  -0.4549   1.0616 1877334.6420  13.9410   1.6854
  1.1126   0.5572  -0.4502   1.0552 1890783.7213  13.9488   1.6793
  1.1073   0.5523  -0.4455   1.0487 1904332.3232  13.9566   1.6732
  1.1020   0.5474  -0.4408   1.0421 1917981.1885  13.9645   1.6670
  1.0967   0.5424  -0.4361   1.0354 1931731.0614  13.9723   1.6608
  1.0913   0.5374  -0.4314   1.0286 1945582.6872  13.9802   1.6545
  1.0859   0.5323  -0.4267   1.0217 1959536.8122  13.9880   1.6481
  1.0804   0.5272  -0.4220   1.0147 1973594.1860  13.9958   1.6417
  1.0749   0.5221  -0.4172   1.0076 1987755.5635  14.0037   1.6352
  1.0694   0.5169  -0.4125   1.0004 2002021.7074  14.0115   1.6287
  1.0638   0.5117  -0.4078   0.9931 2016393.3905  14.0194   1.6220
  1.0582   0.5064  -0.4031   0.9857 2030871.3961  14.0272   1.6153
  1.0526   0.5011  -0.3984   0.9782 2045456.5158  14.0351   1.6085
  1.0469   0.4958  -0.3937   0.9705 2060149.5461  14.0429   1.6017
  1.0412   0.4904  -0.3890   0.9628 2074951.2847  14.0508   1.5948
  1.0354   0.4850  -0.3842   0.9549 2089862.5276  14.0587   1.5878
  1.0296   0.4796  -0.3795   0.9469 2104884.0676  14.0665   1.5808
  1.0238   0.4741  -0.3748   0.9389 2120016.6979  14.0744   1.5738
  1.0179   0.4686  -0.3701   0.9307 2135261.2178  14.0822   1.5667
  1.0119   0.4630  -0.3654   0.9223 2150618.4359  14.0901   1.5595
  1.0059   0.4574  -0.3607   0.9139 2166089.1722  14.0980   1.5523
  0.9999   0.4518  -0.3559   0.9054 2181674.2597  14.1058   1.5451
  0.9938   0.4461  -0.3512   0.8967 2197374.5456  14.1137   1.5379
  0.9877   0.4404  -0.3465   0.8879 2213190.8883  14.1215   1.5306
  0.9815   0.4347  -0.3418   0.8790 2229124.1545  14.1294   1.5233
  0.9752   0.4289  -0.3370   0.8700 2245175.2159  14.1373   1.5159
  0.9690   0.4230  -0.3323   0.8608 2261344.9493  14.1452   1.5086
  0.9626   0.4172  -0.3276   0.8516 2277634.2355  14.1530   1.5012
  0.9562   0.4113  -0.3229   0.8422 2294043.9589  14.1609   1.4938
  0.9498   0.4054  -0.3181   0.8327 2310575.0066  14.1688   1.4864
  0.9433   0.3994  -0.3134   0.8230 2327228.2695  14.1767   1.4789
  0.9368   0.3934  -0.3087   0.8133 2344004.6430  14.1845   1.4715
  0.9302   0.3874  -0.3039   0.8034 2360905.0284  14.1924   1.4640
  0.9235   0.3814  -0.2992   0.7934 2377930.3340  14.2003   1.4565
  0.9168   0.3753  -0.2945   0.7832 2395081.4762  14.2082   1.4489
  0.9100   0.3692  -0.2897   0.7730 2412359.3814  14.2160   1.4413
  0.9031   0.3630  -0.2850   0.7626 2429764.9851  14.2239   1.4337
  0.8962   0.3568  -0.2803   0.7521 2447299.2307  14.2318   1.4261
  0.8893   0.3506  -0.2755   0.7414 2464963.0679  14.2397   1.4184
  0.8822   0.3444  -0.2708   0.7307 2482757.4515  14.2476   1.4106
  0.8751   0.3381  -0.2661   0.7198 2500683.3409  14.2555   1.4029
  0.8679   0.3318  -0.2613   0.7088 2518741.6995  14.2634   1.3950
  0.8607   0.3255  -0.2566   0.6976 2536933.4960  14.2712   1.3872
  0.8534   0.3192  -0.2519   0.6864 2555259.7053  14.2791   1.3793
  0.8460   0.3128  -0.2471   0.6750 2573721.3100  14.2870   1.3713
  0.8385   0.3064  -0.2424   0.6635 2592319.2995  14.2949   1.3633
  0.8310   0.3000  -0.2376   0.6519 2611054.6697  14.3028   1.3553
  0.8234   0.2936  -0.2329   0.6401 2629928.4221  14.3107   1.3472
  0.8157   0.2872  -0.2282   0.6282 2648941.5630  14.3186   1.3391
  0.8079   0.2807  -0.2234   0.6162 2668095.1043  14.3265   1.3310
  0.8000   0.2742  -0.2187   0.6041 2687390.0656  14.3344   1.3228
  0.7920   0.2677  -0.2139   0.5919 2706827.4755  14.3423   1.3146
  0.7840   0.2612  -0.2092   0.5795 2726408.3730  14.3502   1.3064
  0.7758   0.2547  -0.2044   0.5671 2746133.8083  14.3581   1.2982
  0.7676   0.2481  -0.1997   0.5545 2766004.8434  14.3660   1.2900
  0.7592   0.2416  -0.1950   0.5418 2786022.5507  14.3739   1.2818
  0.7508   0.2350  -0.1902   0.5291 2806188.0100  14.3818   1.2735
  0.7422   0.2285  -0.1855   0.5162 2826502.3062  14.3897   1.2653
  0.7335   0.2219  -0.1807   0.5032 2846966.5289  14.3976   1.2571
  0.7247   0.2154  -0.1760   0.4901 2867581.7728  14.4055   1.2488
  0.7158   0.2088  -0.1712   0.4769 2888349.1379  14.4134   1.2406
  0.7068   0.2022  -0.1665   0.4637 2909269.7314  14.4213   1.2323
  0.6976   0.1957  -0.1617   0.4503 2930344.6701  14.4292   1.2241
  0.6883   0.1891  -0.1570   0.4369 2951575.0817  14.4371   1.2158
  0.6789   0.1826  -0.1522   0.4234 2972962.1042  14.4450   1.2075
  0.6693   0.1761  -0.1475   0.4098 2994506.8829  14.4530   1.1992
  0.6596   0.1696  -0.1427   0.3961 3016210.5693  14.4609   1.1910
  0.6497   0.1631  -0.1380   0.3824 3038074.3175  14.4688   1.1827
  0.6397   0.1566  -0.1332   0.3686 3060099.2827  14.4767   1.1743
  0.6295   0.1501  -0.1285   0.3548 3082286.6208  14.4846   1.1660
  0.6191   0.1437  -0.1237   0.3410 3104637.4917  14.4925   1.1577
  0.6085   0.1373  -0.1190   0.3271 3127153.0616  14.5004   1.1494
  0.5977   0.1310  -0.1142   0.3132 3149834.5072  14.5084   1.1410
  0.5867   0.1247  -0.1095   0.2992 3172683.0181  14.5163   1.1326
  0.5755   0.1184  -0.1047   0.2853 3195699.7989  14.5242   1.1242
  0.5640   0.1122  -0.0999   0.2714 3218886.0667  14.5321   1.1158
  0.5523   0.1060  -0.0952   0.2575 3242243.0464  14.5400   1.1074
  0.5404   0.0999  -0.0904   0.2436 3265771.9663  14.5479   1.0990
  0.5281   0.0938  -0.0857   0.2297 3289474.0537  14.5559   1.0906
  0.5155   0.0879  -0.0809   0.2160 3313350.5296  14.5638   1.0821
  0.5027   0.0820  -0.0762   0.2023 3337402.6049  14.5717   1.0736
  0.4894   0.0761  -0.0714   0.1887 3361631.4817  14.5796   1.0652
  0.4758   0.0704  -0.0666   0.1752 3386038.3560  14.5876   1.0567
  0.4618   0.0648  -0.0619   0.1618 3410624.4185  14.5955   1.0482
  0.4473   0.0592  -0.0571   0.1486 3435390.8512  14.6034   1.0396
  0.4323   0.0538  -0.0524   0.1356 3460338.8232  14.6113   1.0311
  0.4167   0.0485  -0.0476   0.1228 3485469.4812  14.6192   1.0226
  0.4006   0.0434  -0.0428   0.1102 3510783.9275  14.6272   1.0140
  0.3837   0.0384  -0.0381   0.0979 3536283.1830  14.6351   1.0055
  0.3661   0.0335  -0.0333   0.0859 3561968.1381  14.6430   0.9969
  0.3475   0.0289  -0.0286   0.0743 3587839.4777  14.6509   0.9884
  0.3279   0.0244  -0.0238   0.0631 3613897.5502  14.6589   0.9798
  0.3070   0.0202  -0.0169   0.0523 3652012.6424  14.6703   0.9673
  0.2601   0.0124  -0.0075   0.0325 3704917.0799  14.6861   0.9503
  0.2025   0.0059   0.0002   0.0157 3748081.3866  14.6988   0.9365
  0.1663   0.0033   0.0045   0.0088 3772359.6736  14.7059   0.9289
  0.1333   0.0017   0.0075   0.0046 3789934.8832  14.7110   0.9234
  0.1055   0.0009   0.0095   0.0023 3801140.5086  14.7142   0.9199
  0.0865   0.0005   0.0106   0.0013 3807860.6178  14.7162   0.9178
  0.0691   0.0002   0.0114   0.0006 3812600.2878  14.7175   0.9163
  0.0556   0.0001   0.0120   0.0003 3815545.0011  14.7184   0.9154
  0.0452   0.0001   0.0123   0.0002 3817352.8287  14.7189   0.9148
  0.0376   0.0000   0.0125   0.0001 3818440.3799  14.7192   0.9145
  0.0322   0.0000   0.0126   0.0001 3819075.0296  14.7194   0.9143
  0.0287   0.0000   0.0126   0.0000 3819550.4093  14.7195   0.9141
  0.0239   0.0000   0.0127   0.0000 3820032.9818  14.7197   0.9140
  0.0190   0.0000   0.0128   0.0000 3820406.8032  14.7198   0.9139
  0.0151   0.0000   0.0128   0.0000 3820642.2910  14.7198   0.9138
  0.0120   0.0000   0.0129   0.0000 3820790.6370  14.7199   0.9137
  0.0095   0.0000   0.0129   0.0000 3820884.0883  14.7199   0.9137
  0.0075   0.0000   0.0129   0.0000 3820942.9586  14.7199   0.9137
  0.0060   0.0000   0.0129   0.0000 3820980.0445  14.7199   0.9137
