Radius   Mass(r<R) logRho   Lum.     Temp.    logPres. logOpac.
  1.0166   1.0000  -6.0751   1.0404 12675.3038   5.8976   2.8664
  1.0166   1.0000  -6.0640   1.0404 12733.4724   5.9117   2.8820
  1.0165   1.0000  -6.0480   1.0404 12817.8571   5.9322   2.9042
  1.0165   1.0000  -6.0276   1.0404 12923.4840   5.9580   2.9316
  1.0165   1.0000  -6.0130   1.0404 12998.1870   5.9764   2.9507
  1.0165   1.0000  -6.0036   1.0404 13046.6202   5.9883   2.9629
  1.0165   1.0000  -5.9877   1.0404 13129.1220   6.0083   2.9835
  1.0164   1.0000  -5.9714   1.0404 13212.0425   6.0288   3.0039
  1.0164   1.0000  -5.9610   1.0404 13265.6758   6.0419   3.0170
  1.0164   1.0000  -5.9459   1.0404 13343.8090   6.0609   3.0357
  1.0164   1.0000  -5.9268   1.0404 13442.3555   6.0849   3.0591
  1.0163   1.0000  -5.9086   1.0404 13535.8994   6.1077   3.0810
  1.0163   1.0000  -5.8955   1.0404 13602.7018   6.1241   3.0964
  1.0163   1.0000  -5.8870   1.0404 13646.2047   6.1347   3.1064
  1.0163   1.0000  -5.8747   1.0404 13709.9883   6.1501   3.1208
  1.0162   1.0000  -5.8588   1.0404 13791.3897   6.1698   3.1391
  1.0162   1.0000  -5.8437   1.0404 13869.4750   6.1887   3.1564
  1.0162   1.0000  -5.8292   1.0404 13944.5270   6.2067   3.1728
  1.0162   1.0000  -5.8153   1.0404 14016.7937   6.2241   3.1884
  1.0161   1.0000  -5.8019   1.0404 14086.4943   6.2408   3.2033
  1.0161   1.0000  -5.7889   1.0404 14153.8238   6.2568   3.2176
  1.0161   1.0000  -5.7765   1.0404 14218.9554   6.2724   3.2312
  1.0161   1.0000  -5.7644   1.0404 14282.0437   6.2873   3.2443
  1.0161   1.0000  -5.7527   1.0404 14343.2269   6.3018   3.2568
  1.0160   1.0000  -5.7359   1.0404 14432.3297   6.3226   3.2749
  1.0160   1.0000  -5.7198   1.0404 14516.5760   6.3425   3.2918
  1.0160   1.0000  -5.7045   1.0404 14598.6076   6.3615   3.3080
  1.0159   1.0000  -5.6897   1.0404 14676.5777   6.3798   3.3232
  1.0159   1.0000  -5.6757   1.0404 14752.6809   6.3973   3.3379
  1.0159   1.0000  -5.6577   1.0404 14849.5541   6.4195   3.3563
  1.0159   1.0000  -5.6447   1.0404 14919.0951   6.4355   3.3694
  1.0158   1.0000  -5.6363   1.0404 14964.4911   6.4459   3.3779
  1.0158   1.0000  -5.6241   1.0404 15031.2043   6.4609   3.3902
  1.0158   1.0000  -5.6085   1.0404 15116.7146   6.4803   3.4059
  1.0158   1.0000  -5.5935   1.0404 15199.0710   6.4988   3.4208
  1.0157   1.0000  -5.5791   1.0404 15278.5244   6.5165   3.4350
  1.0157   1.0000  -5.5653   1.0404 15355.2968   6.5335   3.4486
  1.0157   1.0000  -5.5521   1.0404 15429.5858   6.5500   3.4617
  1.0157   1.0000  -5.5393   1.0404 15501.5678   6.5658   3.4742
  1.0156   1.0000  -5.5269   1.0404 15571.4000   6.5810   3.4862
  1.0156   1.0000  -5.5092   1.0404 15673.1344   6.6029   3.5036
  1.0156   1.0000  -5.4922   1.0404 15769.3941   6.6238   3.5199
  1.0155   1.0000  -5.4814   1.0404 15831.9043   6.6372   3.5303
  1.0155   1.0000  -5.4657   1.0404 15923.3180   6.6565   3.5455
  1.0155   1.0000  -5.4507   1.0404 16010.4117   6.6750   3.5598
  1.0155   1.0000  -5.4410   1.0404 16067.1481   6.6869   3.5690
  1.0154   1.0000  -5.4271   1.0404 16150.3656   6.7042   3.5825
  1.0154   1.0000  -5.4136   1.0404 16230.0842   6.7209   3.5953
  1.0154   1.0000  -5.4049   1.0404 16282.1462   6.7316   3.6036
  1.0154   1.0000  -5.3923   1.0404 16358.6877   6.7472   3.6156
  1.0153   1.0000  -5.3761   1.0404 16456.8765   6.7672   3.6311
  1.0153   1.0000  -5.3606   1.0404 16551.5207   6.7864   3.6458
  1.0153   1.0000  -5.3457   1.0404 16642.9029   6.8047   3.6599
  1.0152   1.0000  -5.3315   1.0404 16731.2730   6.8223   3.6734
  1.0152   1.0000  -5.3178   1.0404 16816.8530   6.8392   3.6863
  1.0152   1.0000  -5.3047   1.0404 16899.8409   6.8554   3.6988
  1.0151   1.0000  -5.2920   1.0404 16980.4135   6.8711   3.7108
  1.0151   1.0000  -5.2739   1.0404 17097.8866   6.8936   3.7280
  1.0151   1.0000  -5.2565   1.0404 17209.2073   6.9150   3.7443
  1.0150   1.0000  -5.2454   1.0404 17281.5512   6.9287   3.7547
  1.0150   1.0000  -5.2295   1.0404 17387.4218   6.9485   3.7698
  1.0150   1.0000  -5.2141   1.0404 17488.4314   6.9674   3.7841
  1.0149   1.0000  -5.2025   1.0404 17567.0060   6.9819   3.7951
  1.0149   1.0000  -5.1894   1.0404 17655.6127   6.9982   3.8074
  1.0149   1.0000  -5.1768   1.0404 17741.7063   7.0139   3.8192
  1.0148   1.0000  -5.1646   1.0404 17825.4499   7.0290   3.8306
  1.0148   1.0000  -5.1528   1.0404 17906.9898   7.0436   3.8416
  1.0148   1.0000  -5.1414   1.0404 17986.4580   7.0577   3.8522
  1.0148   1.0000  -5.1250   1.0404 18102.7329   7.0781   3.8675
  1.0147   1.0000  -5.1042   1.0404 18250.6017   7.1039   3.8869
  1.0147   1.0000  -5.0846   1.0404 18392.0490   7.1283   3.9051
