Radius   Mass(r<R) logRho   Lum.     Temp.    logPres. logOpac.
0.983099 0.999918855  -2.4704   1.0404 177270.9234  10.8843   3.6633
0.982674 0.999915901  -2.4606   1.0404 179729.3031  10.9003   3.6415
0.982245 0.999912844  -2.4508   1.0404 182224.8557  10.9164   3.6197
0.981810 0.999909681  -2.4411   1.0404 184758.1161  10.9324   3.5980
0.981370 0.999906407  -2.4313   1.0404 187329.6217  10.9484   3.5762
0.980923 0.999903019  -2.4216   1.0404 189939.9033  10.9644   3.5543
0.980472 0.999899513  -2.4119   1.0404 192589.4826  10.9804   3.5324
0.980014 0.999895886  -2.4022   1.0404 195278.8812  10.9964   3.5104
0.979550 0.999892132  -2.3925   1.0404 198008.6365  11.0124   3.4885
0.979081 0.999888247  -2.3828   1.0404 200779.3083  11.0284   3.4666
0.978605 0.999884228  -2.3731   1.0404 203591.4760  11.0443   3.4448
0.978124 0.999880069  -2.3635   1.0404 206445.7316  11.0602   3.4230
0.977636 0.999875765  -2.3538   1.0404 209342.6759  11.0762   3.4014
0.977141 0.999871312  -2.3466   1.0404 211528.9551  11.0881   3.3855
0.976892 0.999869028  -2.3418   1.0404 213009.8100  11.0960   3.3748
0.976641 0.999866705  -2.3346   1.0404 215266.9032  11.1080   3.3587
0.976133 0.999861938  -2.3249   1.0404 218295.5993  11.1239   3.3376
0.975619 0.999857005  -2.3153   1.0404 221369.4767  11.1398   3.3166
0.975099 0.999851902  -2.3057   1.0404 224489.1856  11.1557   3.2956
0.974571 0.999846622  -2.2961   1.0404 227655.3894  11.1716   3.2747
0.974037 0.999841159  -2.2866   1.0404 230868.7690  11.1875   3.2538
0.973495 0.999835506  -2.2770   1.0404 234130.0225  11.2034   3.2331
0.972947 0.999829659  -2.2674   1.0404 237439.8557  11.2192   3.2127
0.972391 0.999823609  -2.2578   1.0404 240798.9706  11.2351   3.1926
0.971828 0.999817350  -2.2483   1.0404 244208.0708  11.2510   3.1726
0.971258 0.999810874  -2.2387   1.0404 247667.9017  11.2668   3.1528
0.970679 0.999804175  -2.2291   1.0404 251179.2874  11.2827   3.1330
0.970094 0.999797245  -2.2196   1.0404 254743.1310  11.2985   3.1132
0.969500 0.999790075  -2.2100   1.0404 258360.3781  11.3144   3.0934
0.968899 0.999782659  -2.2005   1.0404 262031.9772  11.3302   3.0738
0.968290 0.999774986  -2.1910   1.0404 265758.8738  11.3461   3.0544
0.967672 0.999767049  -2.1814   1.0404 269541.9660  11.3619   3.0352
0.967047 0.999758839  -2.1719   1.0404 273382.0316  11.3778   3.0163
0.966413 0.999750346  -2.1624   1.0404 277279.6947  11.3936   2.9976
0.965770 0.999741561  -2.1528   1.0404 281235.4856  11.4095   2.9790
0.965120 0.999732473  -2.1433   1.0404 285249.9790  11.4253   2.9607
0.964460 0.999723074  -2.1338   1.0404 289323.8706  11.4412   2.9426
0.963792 0.999713351  -2.1243   1.0404 293457.9754  11.4570   2.9247
0.963114 0.999703294  -2.1147   1.0404 297653.2229  11.4729   2.9069
0.962428 0.999692892  -2.1052   1.0404 301910.6621  11.4887   2.8893
0.961733 0.999682133  -2.0957   1.0404 306231.4577  11.5046   2.8717
0.961028 0.999671005  -2.0862   1.0404 310616.8187  11.5204   2.8543
0.960314 0.999659496  -2.0766   1.0404 315067.9175  11.5363   2.8370
0.959590 0.999647592  -2.0671   1.0404 319585.8746  11.5521   2.8200
0.958857 0.999635280  -2.0576   1.0404 324171.7877  11.5680   2.8031
0.958114 0.999622548  -2.0480   1.0404 328826.7693  11.5839   2.7864
0.957361 0.999609379  -2.0385   1.0404 333551.9568  11.5997   2.7700
0.956598 0.999595761  -2.0290   1.0404 338348.5086  11.6156   2.7537
0.955825 0.999581677  -2.0194   1.0404 343217.6018  11.6315   2.7376
0.955042 0.999567112  -2.0099   1.0404 348160.4309  11.6474   2.7216
0.954248 0.999552049  -2.0004   1.0404 353178.2001  11.6632   2.7059
0.953443 0.999536473  -1.9908   1.0404 358272.1088  11.6791   2.6903
0.952628 0.999520366  -1.9813   1.0404 363443.3432  11.6950   2.6750
0.951802 0.999503710  -1.9717   1.0404 368693.0860  11.7109   2.6598
0.950964 0.999486486  -1.9622   1.0404 374022.5501  11.7268   2.6448
0.950116 0.999468677  -1.9526   1.0404 379433.0086  11.7428   2.6299
0.949256 0.999450261  -1.9431   1.0404 384925.7993  11.7587   2.6150
0.948385 0.999431219  -1.9335   1.0404 390502.3132  11.7746   2.6004
0.947502 0.999411530  -1.9240   1.0404 396163.9788  11.7905   2.5860
0.946608 0.999391172  -1.9144   1.0404 401912.2573  11.8065   2.5719
0.945701 0.999370123  -1.9048   1.0404 407748.6220  11.8224   2.5580
0.944783 0.999348361  -1.8953   1.0404 413674.5294  11.8384   2.5445
0.943852 0.999325860  -1.8857   1.0404 419691.4156  11.8543   2.5312
0.942908 0.999302597  -1.8761   1.0404 425800.7318  11.8703   2.5181
0.941953 0.999278547  -1.8665   1.0404 432003.9971  11.8863   2.5051
0.940984 0.999253682  -1.8569   1.0404 438302.8146  11.9023   2.4923
0.940002 0.999227977  -1.8473   1.0404 444698.8425  11.9183   2.4796
0.939008 0.999201403  -1.8377   1.0404 451193.7509  11.9343   2.4670
0.938000 0.999173931  -1.8281   1.0404 457789.2039  11.9503   2.4545
0.936979 0.999145532  -1.8185   1.0404 464486.8731  11.9663   2.4422
0.935944 0.999116175  -1.8089   1.0404 471288.4609  11.9824   2.4301
0.934895 0.999085828  -1.7992   1.0404 478195.7174  11.9984   2.4182
0.933833 0.999054460  -1.7896   1.0404 485210.4446  12.0145   2.4065
0.932756 0.999022035  -1.7800   1.0404 492334.4902  12.0306   2.3951
0.931665 0.998988519  -1.7703   1.0404 499569.7328  12.0466   2.3837
0.930559 0.998953877  -1.7607   1.0404 506918.0693  12.0627   2.3725
0.929439 0.998918071  -1.7510   1.0404 514381.4214  12.0788   2.3612
0.928304 0.998881063  -1.7413   1.0404 521961.7625  12.0950   2.3500
0.927153 0.998842814  -1.7316   1.0404 529661.1405  12.1111   2.3389
0.925988 0.998803282  -1.7220   1.0404 537481.6685  12.1272   2.3279
0.924807 0.998762426  -1.7123   1.0404 545425.4926  12.1434   2.3170
0.923610 0.998720202  -1.7026   1.0404 553494.7752  12.1596   2.3062
0.922398 0.998676567  -1.6929   1.0404 561691.7073  12.1757   2.2955
0.921169 0.998631472  -1.6831   1.0404 570018.5275  12.1919   2.2848
0.919924 0.998584872  -1.6734   1.0404 578477.5322  12.2081   2.2740
0.918663 0.998536717  -1.6637   1.0404 587071.0803  12.2244   2.2632
0.917385 0.998486956  -1.6539   1.0404 595801.5990  12.2406   2.2524
0.916090 0.998435537  -1.6442   1.0404 604671.5806  12.2569   2.2418
0.914778 0.998382406  -1.6344   1.0404 613683.5672  12.2731   2.2311
0.913449 0.998327508  -1.6247   1.0404 622840.1374  12.2894   2.2205
0.912102 0.998270786  -1.6149   1.0404 632143.9096  12.3057   2.2099
0.910737 0.998212179  -1.6051   1.0404 641597.5576  12.3221   2.1992
0.909354 0.998151628  -1.5977   1.0404 648743.2032  12.3343   2.1912
0.908656 0.998120604  -1.5904   1.0404 656064.7889  12.3466   2.1830
0.907246 0.998057017  -1.5805   1.0404 665905.2325  12.3629   2.1721
0.905817 0.997991326  -1.5707   1.0404 675905.3855  12.3793   2.1611
0.904369 0.997923461  -1.5609   1.0404 686068.2113  12.3957   2.1502
0.902902 0.997853353  -1.5510   1.0404 696396.7902  12.4121   2.1392
0.901417 0.997780930  -1.5412   1.0404 706894.3037  12.4286   2.1283
0.899911 0.997706118  -1.5313   1.0404 717563.9648  12.4450   2.1173
0.898386 0.997628841  -1.5214   1.0404 728408.9752  12.4615   2.1064
0.896840 0.997549018  -1.5115   1.0404 739432.5647  12.4780   2.0954
0.895275 0.997466570  -1.5016   1.0404 750638.0734  12.4945   2.0843
0.893689 0.997381411  -1.4917   1.0404 762028.9791  12.5111   2.0733
0.892082 0.997293457  -1.4817   1.0404 773608.8495  12.5276   2.0623
0.890454 0.997202618  -1.4718   1.0404 785381.2910  12.5442   2.0513
0.888804 0.997108802  -1.4618   1.0404 797349.9512  12.5608   2.0404
0.887133 0.997011915  -1.4518   1.0404 809518.5613  12.5775   2.0295
0.885441 0.996911860  -1.4418   1.0404 821890.9572  12.5941   2.0187
0.883726 0.996808536  -1.4318   1.0404 834471.0609  12.6108   2.0080
0.881988 0.996701841  -1.4218   1.0404 847262.8588  12.6275   1.9974
0.880228 0.996591667  -1.4118   1.0404 860270.4249  12.6442   1.9869
0.878446 0.996477906  -1.4017   1.0404 873497.9770  12.6609   1.9764
0.876639 0.996360445  -1.3916   1.0404 886949.9024  12.6777   1.9659
0.874810 0.996239167  -1.3816   1.0404 900630.6980  12.6945   1.9556
0.872956 0.996113953  -1.3715   1.0404 914544.8747  12.7113   1.9452
0.871079 0.995984680  -1.3613   1.0404 928696.9418  12.7282   1.9349
0.869177 0.995851221  -1.3512   1.0404 943091.5308  12.7451   1.9248
0.867250 0.995713445  -1.3411   1.0404 957733.5404  12.7620   1.9146
0.865298 0.995571218  -1.3309   1.0404 972628.1268  12.7789   1.9046
0.863321 0.995424401  -1.3207   1.0404 987780.5466  12.7959   1.8945
0.861319 0.995272852  -1.3105   1.0404 1003196.0415  12.8129   1.8844
0.859290 0.995116425  -1.3003   1.0404 1018879.8981  12.8299   1.8744
0.857235 0.994954968  -1.2900   1.0404 1034837.5815  12.8470   1.8643
0.855154 0.994788326  -1.2798   1.0404 1051074.8008  12.8640   1.8543
0.853046 0.994616338  -1.2721   1.0404 1063368.6258  12.8768   1.8468
0.851981 0.994528289  -1.2643   1.0404 1075967.3498  12.8897   1.8392
0.849832 0.994347974  -1.2540   1.0404 1092929.6150  12.9069   1.8292
0.847655 0.994161893  -1.2437   1.0404 1110192.7858  12.9241   1.8191
0.845450 0.993969870  -1.2333   1.0404 1127763.3458  12.9413   1.8089
0.843216 0.993771722  -1.2230   1.0404 1145648.0059  12.9586   1.7986
0.840954 0.993567262  -1.2126   1.0404 1163853.7223  12.9759   1.7883
0.838663 0.993356298  -1.2022   1.0404 1182387.6897  12.9933   1.7778
0.836342 0.993138632  -1.1917   1.0404 1201257.3153  13.0106   1.7672
0.833991 0.992914060  -1.1812   1.0404 1220470.1928  13.0281   1.7565
0.831610 0.992682371  -1.1707   1.0404 1240034.0928  13.0455   1.7458
0.829199 0.992443351  -1.1602   1.0404 1259956.9905  13.0630   1.7350
0.826756 0.992196778  -1.1497   1.0404 1280247.1086  13.0806   1.7241
0.824283 0.991942423  -1.1391   1.0404 1300912.9426  13.0981   1.7132
0.821777 0.991680053  -1.1285   1.0404 1321963.2780  13.1158   1.7023
0.819240 0.991409427  -1.1179   1.0404 1343407.2037  13.1334   1.6913
0.816670 0.991130295  -1.1073   1.0404 1365254.0879  13.1511   1.6802
0.814067 0.990842405  -1.0966   1.0404 1387513.5388  13.1689   1.6690
0.811430 0.990545494  -1.0859   1.0404 1410195.4129  13.1867   1.6577
0.808760 0.990239293  -1.0752   1.0404 1433309.8576  13.2045   1.6463
0.806056 0.989923525  -1.0644   1.0404 1456867.3324  13.2224   1.6347
0.803317 0.989597907  -1.0537   1.0404 1480878.5937  13.2404   1.6230
0.800543 0.989262147  -1.0428   1.0404 1505354.6925  13.2583   1.6112
0.797734 0.988915945  -1.0320   1.0404 1530307.0026  13.2764   1.5992
0.794888 0.988558993  -1.0211   1.0404 1555747.2669  13.2945   1.5870
0.792007 0.988190975  -1.0102   1.0404 1581687.6438  13.3126   1.5747
0.789088 0.987811567  -0.9993   1.0404 1608140.7340  13.3308   1.5622
0.786133 0.987420436  -0.9883   1.0404 1635119.5634  13.3491   1.5495
0.783140 0.987017239  -0.9773   1.0404 1662637.5479  13.3674   1.5367
0.780108 0.986601625  -0.9662   1.0404 1690708.5024  13.3858   1.5237
0.777038 0.986173234  -0.9552   1.0404 1719346.7171  13.4042   1.5106
0.773929 0.985731697  -0.9440   1.0404 1748567.0365  13.4227   1.4974
0.770780 0.985276635  -0.9329   1.0404 1778384.8689  13.4413   1.4841
0.767591 0.984807658  -0.9217   1.0404 1808816.1531  13.4599   1.4706
0.764361 0.984324368  -0.9105   1.0404 1839877.3473  13.4786   1.4570
0.761090 0.983826357  -0.8992   1.0404 1871585.4566  13.4973   1.4431
0.757778 0.983313206  -0.8879   1.0404 1903958.0495  13.5161   1.4291
0.754423 0.982784485  -0.8765   1.0404 1937013.2642  13.5350   1.4148
0.751026 0.982239755  -0.8651   1.0404 1970769.8878  13.5540   1.4002
0.747586 0.981678565  -0.8537   1.0404 2005247.4923  13.5730   1.3852
0.744101 0.981100453  -0.8422   1.0404 2040466.4960  13.5921   1.3699
0.740573 0.980504949  -0.8307   1.0404 2076448.0993  13.6113   1.3543
0.737000 0.979891567  -0.8190   1.0404 2112669.6181  13.6305   1.3388
0.733382 0.979259813  -0.8068   1.0404 2147624.0638  13.6498   1.3246
0.729723 0.978609182  -0.7943   1.0404 2181541.1641  13.6693   1.3116
0.726025 0.977939154  -0.7813   1.0404 2214606.5179  13.6888   1.2995
0.722291 0.977249200  -0.7681   1.0404 2246972.4748  13.7083   1.2882
0.718523 0.976538778  -0.7546   1.0404 2278765.4786  13.7280   1.2777
0.714722 0.975807336  -0.7408   1.0404 2310090.6673  13.7477   1.2677
0.710891 0.975054306  -0.7268   1.0404 2341035.6024  13.7676   1.2583
0.707031 0.974279111  -0.7161   1.0404 2363847.9053  13.7825   1.2516
0.705091 0.973883017  -0.7053   1.0404 2386894.9399  13.7975   1.2449
0.701190 0.973073462  -0.6908   1.0404 2417186.9474  13.8175   1.2364
0.697264 0.972240241  -0.6760   1.0404 2447311.0439  13.8376   1.2282
0.693314 0.971382731  -0.6611   1.0404 2477309.4195  13.8578   1.2201
0.689340 0.970500296  -0.6461   1.0404 2507218.4944  13.8781   1.2123
0.685345 0.969592289  -0.6309   1.0404 2537069.8711  13.8985   1.2045
0.681330 0.968658047  -0.6155   1.0404 2566891.4293  13.9189   1.1969
0.677295 0.967696895  -0.6000   1.0404 2596708.3128  13.9394   1.1894
0.673242 0.966708143  -0.5843   1.0404 2626543.4385  13.9600   1.1820
0.669171 0.965691091  -0.5686   1.0404 2656417.7827  13.9807   1.1746
0.665084 0.964645021  -0.5527   1.0404 2686350.6312  14.0015   1.1673
0.660982 0.963569204  -0.5367   1.0404 2716359.7923  14.0223   1.1601
0.656866 0.962462895  -0.5205   1.0404 2746461.7746  14.0433   1.1529
0.652736 0.961325337  -0.5043   1.0404 2776671.9547  14.0643   1.1458
0.648593 0.960155756  -0.4879   1.0404 2807004.7071  14.0853   1.1387
0.644439 0.958953366  -0.4715   1.0404 2837473.5285  14.1065   1.1316
0.640274 0.957717365  -0.4549   1.0404 2868091.0819  14.1277   1.1245
0.636099 0.956446937  -0.4383   1.0404 2898869.2147  14.1490   1.1175
0.631915 0.955141250  -0.4215   1.0404 2929819.0202  14.1703   1.1104
0.627723 0.953799459  -0.4047   1.0404 2960950.8939  14.1917   1.1034
0.623523 0.952420701  -0.3877   1.0404 2992274.6036  14.2132   1.0964
0.619317 0.951004098  -0.3729   1.0405 3019765.7819  14.2321   1.0902
0.616158 0.949916274  -0.3579   1.0405 3047580.2483  14.2510   1.0840
0.611942 0.948431284  -0.3408   1.0405 3079477.7276  14.2727   1.0770
0.607721 0.946905954  -0.3235   1.0405 3111599.4856  14.2944   1.0699
0.603496 0.945339346  -0.3062   1.0405 3143953.3272  14.3162   1.0629
0.599268 0.943730503  -0.2889   1.0405 3176546.7776  14.3380   1.0558
0.595038 0.942078454  -0.2714   1.0405 3209387.1368  14.3599   1.0487
0.590806 0.940382208  -0.2539   1.0405 3242481.5621  14.3819   1.0415
0.586572 0.938640756  -0.2363   1.0405 3275837.1223  14.4039   1.0344
0.582338 0.936853072  -0.2187   1.0405 3309460.8011  14.4260   1.0272
0.578104 0.935018109  -0.2010   1.0405 3343359.4738  14.4481   1.0201
0.573870 0.933134802  -0.1832   1.0405 3377539.9089  14.4703   1.0129
0.569637 0.931202066  -0.1654   1.0405 3412008.8317  14.4925   1.0057
0.565406 0.929218795  -0.1475   1.0405 3446772.9742  14.5148   0.9984
0.561177 0.927183863  -0.1295   1.0405 3481839.0478  14.5372   0.9912
0.556951 0.925096123  -0.1115   1.0405 3517213.7197  14.5595   0.9839
0.552728 0.922954404  -0.0935   1.0405 3552903.6350  14.5819   0.9767
0.548508 0.920757517  -0.0754   1.0405 3588915.4804  14.6044   0.9694
0.544293 0.918504249  -0.0573   1.0405 3625256.0405  14.6269   0.9620
0.540081 0.916193363  -0.0391   1.0405 3661932.2435  14.6495   0.9547
0.535875 0.913823602  -0.0208   1.0405 3698951.2315  14.6721   0.9474
0.531673 0.911393684  -0.0026   1.0405 3736320.4400  14.6947   0.9400
0.527478 0.908902304   0.0112   1.0405 3764439.9179  14.7117   0.9345
0.525382 0.907633152   0.0249   1.0405 3793048.5741  14.7287   0.9290
0.521195 0.905047081   0.0433   1.0405 3831327.6991  14.7514   0.9216
0.517014 0.902396183   0.0617   1.0405 3869985.1799  14.7742   0.9142
0.512840 0.899679067   0.0802   1.0405 3909029.7047  14.7970   0.9068
0.508672 0.896894323   0.0986   1.0405 3948470.4352  14.8198   0.8995
0.504512 0.894040512   0.1172   1.0405 3988316.9323  14.8427   0.8921
0.500359 0.891116173   0.1357   1.0405 4028579.0493  14.8656   0.8848
0.496213 0.888119820   0.1543   1.0405 4069266.8325  14.8885   0.8774
0.492075 0.885049944   0.1729   1.0405 4110390.4383  14.9115   0.8701
0.487944 0.881905011   0.1892   1.0405 4146654.2840  14.9316   0.8637
0.484852 0.879496119   0.2032   1.0405 4178086.9324  14.9489   0.8582
0.481764 0.877043467   0.2195   1.0405 4215173.0129  14.9691   0.8518
0.477654 0.873704026   0.2382   1.0405 4257902.3803  14.9921   0.8445
0.473551 0.870283975   0.2569   1.0405 4301113.6809  15.0152   0.8372
0.469458 0.866781673   0.2757   1.0405 4344817.2173  15.0384   0.8299
0.465372 0.863195460   0.2944   1.0405 4389023.2559  15.0615   0.8226
0.461296 0.859523650   0.3132   1.0405 4433742.0690  15.0847   0.8153
0.457227 0.855764538   0.3320   1.0405 4478983.9910  15.1079   0.8080
0.453167 0.851916399   0.3508   1.0405 4524759.4272  15.1311   0.8007
0.449116 0.847977484   0.3697   1.0405 4571078.8454  15.1544   0.7934
0.445074 0.843946028   0.3885   1.0405 4617952.7877  15.1777   0.7860
0.441040 0.839820246   0.4074   1.0405 4665391.9026  15.2010   0.7787
0.437014 0.835598337   0.4263   1.0405 4713406.9593  15.2243   0.7714
0.432997 0.831278481   0.4452   1.0405 4762008.8429  15.2476   0.7640
0.428989 0.826858844   0.4641   1.0405 4811208.5411  15.2710   0.7566
0.424989 0.822337579   0.4830   1.0405 4861017.1836  15.2944   0.7492
0.420998 0.817712825   0.5019   1.0405 4911446.0678  15.3178   0.7418
0.417015 0.812982708   0.5208   1.0405 4962506.6001  15.3412   0.7344
0.413040 0.808145346   0.5398   1.0405 5014210.2361  15.3647   0.7270
0.409073 0.803198847   0.5587   1.0405 5066568.5652  15.3881   0.7195
0.405115 0.798141314   0.5776   1.0405 5119593.6572  15.4116   0.7121
0.401164 0.792970843   0.5966   1.0405 5173298.3753  15.4351   0.7046
0.397222 0.787685530   0.6155   1.0405 5227696.4669  15.4586   0.6971
0.393287 0.782283466   0.6345   1.0405 5282802.5995  15.4821   0.6896
0.389359 0.776762747   0.6535   1.0405 5338632.3558  15.5056   0.6821
0.385440 0.771121470   0.6724   1.0405 5395202.2287  15.5292   0.6746
0.381527 0.765357742   0.6914   1.0404 5452529.6468  15.5527   0.6671
0.377622 0.759469673   0.7103   1.0404 5510633.0613  15.5763   0.6597
0.373723 0.753455386   0.7293   1.0404 5569532.0678  15.5999   0.6522
0.369831 0.747313019   0.7482   1.0404 5629247.4304  15.6235   0.6448
0.365946 0.741040722   0.7672   1.0404 5689801.0040  15.6470   0.6374
0.362067 0.734636668   0.7861   1.0404 5751215.6358  15.6706   0.6300
0.358194 0.728099048   0.8050   1.0403 5813515.1636  15.6943   0.6226
0.354327 0.721426082   0.8240   1.0403 5876724.4355  15.7179   0.6153
0.350465 0.714616018   0.8382   1.0403 5924671.8906  15.7356   0.6098
0.348526 0.711141577   0.8476   1.0403 5956982.3833  15.7475   0.6062
0.346608 0.707667137   0.8571   1.0402 5989536.4943  15.7593   0.6025
0.344672 0.704122448   0.8665   1.0402 6022334.9619  15.7711   0.5989
0.342756 0.700577758   0.8806   1.0402 6072072.2866  15.7887   0.5934
0.338909 0.693346239   0.8995   1.0402 6139188.4426  15.8124   0.5862
0.335065 0.685970983   0.9137   1.0401 6190147.3195  15.8302   0.5808
0.333135 0.682210713   0.9231   1.0401 6224498.0862  15.8420   0.5773
0.331225 0.678450442   0.9325   1.0400 6259122.3479  15.8538   0.5737
0.329298 0.674616782   0.9419   1.0400 6294021.9940  15.8656   0.5701
0.327389 0.670783122   0.9559   1.0400 6346962.2964  15.8833   0.5647
0.323555 0.662967585   0.9747   1.0399 6418473.2001  15.9069   0.5576
0.319723 0.655002460   0.9888   1.0398 6472739.4252  15.9247   0.5524
0.317808 0.650963391   0.9982   1.0397 6509390.0815  15.9365   0.5489
0.315894 0.646886441   1.0076   1.0397 6546348.1156  15.9483   0.5454
0.313979 0.642771459   1.0170   1.0396 6583618.0666  15.9601   0.5418
0.312065 0.638618299   1.0263   1.0395 6621204.4954  15.9719   0.5383
0.310151 0.634426820   1.0357   1.0395 6659111.9930  15.9838   0.5348
0.308238 0.630196885   1.0450   1.0394 6697345.1849  15.9956   0.5313
0.306324 0.625928366   1.0543   1.0393 6735908.7405  16.0074   0.5278
0.304410 0.621621138   1.0637   1.0392 6774807.3834  16.0192   0.5243
0.302496 0.617275083   1.0730   1.0391 6814045.8875  16.0310   0.5208
0.300582 0.612890091   1.0823   1.0390 6853629.0755  16.0428   0.5173
0.298668 0.608466055   1.0893   1.0389 6883534.7743  16.0517   0.5146
0.297709 0.606234467   1.0940   1.0388 6903589.5009  16.0576   0.5129
0.296753 0.604002880   1.0986   1.0388 6923733.1935  16.0635   0.5111
0.295794 0.601751676   1.1033   1.0387 6943966.3609  16.0694   0.5094
0.294838 0.599500472   1.1102   1.0386 6974495.5111  16.0783   0.5067
0.292922 0.594958749   1.1195   1.0385 7015506.2753  16.0901   0.5032
0.291006 0.590377635   1.1265   1.0383 7046497.0660  16.0990   0.5006
0.290045 0.588067348   1.1311   1.0382 7067280.4354  16.1049   0.4988
0.289089 0.585757061   1.1357   1.0381 7088157.6993  16.1108   0.4970
0.288128 0.583427014   1.1404   1.0380 7109129.4486  16.1167   0.4953
0.287171 0.581096967   1.1473   1.0379 7140774.2842  16.1255   0.4926
0.285252 0.576397302   1.1566   1.0377 7183292.4134  16.1373   0.4891
0.283332 0.571658022   1.1635   1.0374 7215428.9575  16.1462   0.4864
0.282369 0.569268558   1.1681   1.0373 7236981.7071  16.1521   0.4846
0.281411 0.566879093   1.1727   1.0371 7258633.7245  16.1580   0.4829
0.280448 0.564469793   1.1773   1.0370 7280385.7679  16.1639   0.4811
0.279488 0.562060492   1.1842   1.0368 7313209.7197  16.1728   0.4784
0.277564 0.557202204   1.1935   1.0365 7357322.8346  16.1846   0.4749
0.275639 0.552304224   1.2004   1.0361 7390673.4585  16.1934   0.4722
0.274674 0.549835391   1.2050   1.0359 7413041.9948  16.1993   0.4705
0.273712 0.547366558   1.2096   1.0357 7435516.1132  16.2052   0.4687
0.272746 0.544877890   1.2142   1.0354 7458096.7777  16.2111   0.4669
0.271783 0.542389223   1.2211   1.0352 7492173.7416  16.2200   0.4642
0.269852 0.537372248   1.2302   1.0347 7537984.7418  16.2318   0.4607
0.267920 0.532315671   1.2371   1.0342 7572630.1563  16.2406   0.4581
0.266951 0.529767607   1.2417   1.0339 7595869.4366  16.2465   0.4563
0.265985 0.527219543   1.2486   1.0336 7630943.1104  16.2554   0.4537
0.264048 0.522083929   1.2577   1.0331 7678107.1472  16.2672   0.4501
0.262108 0.516908903   1.2669   1.0324 7725739.2679  16.2790   0.4466
0.260166 0.511694556   1.2738   1.0317 7761776.2495  16.2879   0.4440
0.259193 0.509067773   1.2806   1.0314 7798130.0356  16.2967   0.4414
0.257246 0.503794657   1.2897   1.0307 7846972.9976  16.3085   0.4379
0.255298 0.498482506   1.2966   1.0299 7883891.5420  16.3174   0.4353
0.254324 0.495816688   1.3034   1.0295 7921136.0071  16.3262   0.4327
0.252370 0.490446232   1.3125   1.0286 7971252.6756  16.3380   0.4292
0.250413 0.485037119   1.3194   1.0277 8009191.6113  16.3469   0.4267
0.249432 0.482313324   1.3240   1.0273 8034648.5273  16.3528   0.4249
0.248453 0.479589529   1.3308   1.0268 8073081.7447  16.3616   0.4224
0.246489 0.474103658   1.3399   1.0258 8124816.9995  16.3734   0.4189
0.244522 0.468579722   1.3490   1.0247 8177114.3733  16.3852   0.4155
0.242550 0.463017953   1.3558   1.0236 8216723.1453  16.3941   0.4130
0.241561 0.460218277   1.3604   1.0230 8243304.4977  16.4000   0.4112
0.240575 0.457418602   1.3672   1.0224 8283441.0013  16.4088   0.4087
0.238595 0.451781940   1.3762   1.0212 8337493.9573  16.4206   0.4053
0.236611 0.446108258   1.3853   1.0198 8392155.6546  16.4324   0.4019
0.234622 0.440397867   1.3944   1.0184 8447438.1031  16.4442   0.3985
0.232628 0.434651100   1.4035   1.0169 8503353.4803  16.4560   0.3951
0.230629 0.428868311   1.4125   1.0154 8559914.1391  16.4678   0.3917
0.228625 0.423049880   1.4216   1.0137 8617132.6110  16.4796   0.3882
0.226616 0.417196209   1.4307   1.0119 8675021.6161  16.4914   0.3848
0.224601 0.411307723   1.4397   1.0101 8733594.0686  16.5032   0.3814
0.222580 0.405384876   1.4488   1.0081 8792863.0820  16.5151   0.3780
0.220553 0.399428148   1.4578   1.0060 8852841.9764  16.5269   0.3745
0.218519 0.393438045   1.4669   1.0038 8913544.2905  16.5387   0.3711
0.216479 0.387415104   1.4760   1.0014 8974983.8131  16.5505   0.3676
0.214432 0.381359892   1.4850   0.9990 9037174.7046  16.5624   0.3641
0.212378 0.375273006   1.4941   0.9963 9100131.6339  16.5742   0.3606
0.210316 0.369155074   1.5031   0.9936 9163869.8258  16.5860   0.3572
0.208247 0.363006762   1.5100   0.9906 9212232.4942  16.5949   0.3545
0.207208 0.359917763   1.5168   0.9891 9261014.4890  16.6038   0.3519
0.205127 0.353725291   1.5258   0.9859 9326775.5464  16.6156   0.3484
0.203037 0.347504254   1.5327   0.9825 9376652.2043  16.6246   0.3458
0.201990 0.344386690   1.5395   0.9808 9426959.5211  16.6334   0.3431
0.199887 0.338124194   1.5486   0.9771 9494853.6766  16.6453   0.3396
0.197775 0.331835180   1.5577   0.9732 9563633.7686  16.6572   0.3361
0.195653 0.325520539   1.5668   0.9691 9633319.8006  16.6690   0.3326
0.193521 0.319181210   1.5759   0.9647 9703932.6224  16.6809   0.3291
0.191380 0.312818174   1.5850   0.9602 9775493.9717  16.6928   0.3256
0.189227 0.306432462   1.5942   0.9553 9848026.5055  16.7047   0.3221
0.187064 0.300025155   1.6034   0.9502 9921553.8239  16.7166   0.3186
0.184889 0.293597384   1.6126   0.9448 9996100.4800  16.7285   0.3151
0.182702 0.287150337   1.6218   0.9391 10071691.9331  16.7405   0.3116
0.180503 0.280685256   1.6310   0.9331 10148354.3439  16.7524   0.3082
0.178291 0.274203443   1.6402   0.9267 10226114.3055  16.7643   0.3048
0.176066 0.267706262   1.6495   0.9200 10304998.6350  16.7763   0.3013
0.173827 0.261195140   1.6588   0.9129 10385034.1686  16.7883   0.2979
0.171574 0.254671574   1.6681   0.9055 10466247.5087  16.8003   0.2945
