Radius   Mass(r<R) logRho   Lum.     Temp.    logPres. logOpac.
1.017183 1.000000000  -6.5240   1.0404 9672.4510   5.2808   1.7636
1.017171 1.000000000  -6.5150   1.0404 9772.2951   5.2955   1.8111
1.017159 1.000000000  -6.5062   1.0404 9865.8720   5.3096   1.8550
1.017148 1.000000000  -6.4975   1.0404 9953.9144   5.3233   1.8957
1.017137 1.000000000  -6.4889   1.0404 10037.0354   5.3366   1.9334
1.017126 1.000000000  -6.4805   1.0404 10115.7529   5.3495   1.9686
1.017115 1.000000000  -6.4683   1.0404 10227.8855   5.3681   2.0179
1.017094 1.000000000  -6.4562   1.0404 10329.7489   5.3860   2.0618
1.017084 1.000000000  -6.4484   1.0404 10394.6837   5.3975   2.0893
1.017074 1.000000000  -6.4370   1.0404 10487.9997   5.4143   2.1283
1.017055 1.000000000  -6.4258   1.0404 10574.0932   5.4304   2.1638
1.017045 1.000000000  -6.4185   1.0404 10629.3535   5.4408   2.1863
1.017036 1.000000000  -6.4079   1.0404 10709.2762   5.4560   2.2184
1.017018 1.000000000  -6.3942   1.0404 10808.7377   5.4754   2.2578
1.017000 1.000000000  -6.3809   1.0404 10902.0095   5.4940   2.2940
1.016983 1.000000000  -6.3680   1.0404 10989.8402   5.5119   2.3276
1.016967 1.000000000  -6.3556   1.0404 11072.8473   5.5290   2.3587
1.016950 1.000000000  -6.3436   1.0404 11151.5459   5.5455   2.3877
1.016935 1.000000000  -6.3263   1.0404 11263.7838   5.5691   2.4282
1.016905 1.000000000  -6.3097   1.0404 11365.9983   5.5915   2.4643
1.016890 1.000000000  -6.2991   1.0404 11431.2428   5.6058   2.4868
1.016876 1.000000000  -6.2837   1.0404 11525.1324   5.6265   2.5187
1.016849 1.000000000  -6.2689   1.0404 11612.0053   5.6462   2.5478
1.016836 1.000000000  -6.2593   1.0404 11667.8487   5.6588   2.5662
1.016823 1.000000000  -6.2455   1.0404 11748.7345   5.6771   2.5924
1.016798 0.999999999  -6.2278   1.0404 11849.6840   5.7004   2.6246
1.016774 0.999999999  -6.2150   1.0404 11920.8748   5.7171   2.6470
1.016762 0.999999999  -6.2068   1.0404 11966.9655   5.7279   2.6614
1.016751 0.999999999  -6.1948   1.0404 12034.1669   5.7436   2.6820
1.016729 0.999999999  -6.1794   1.0404 12119.0398   5.7636   2.7077
1.016707 0.999999999  -6.1646   1.0404 12199.6854   5.7828   2.7318
1.016686 0.999999999  -6.1504   1.0404 12276.5318   5.8012   2.7544
1.016666 0.999999999  -6.1367   1.0404 12349.9462   5.8188   2.7757
1.016647 0.999999999  -6.1235   1.0404 12420.2439   5.8357   2.7958
1.016628 0.999999999  -6.1107   1.0404 12487.6975   5.8520   2.8148
1.016610 0.999999999  -6.0925   1.0404 12584.9658   5.8754   2.8417
1.016575 0.999999999  -6.0751   1.0404 12675.3038   5.8976   2.8664
1.016558 0.999999999  -6.0640   1.0404 12733.4724   5.9117   2.8820
1.016541 0.999999999  -6.0480   1.0404 12817.8571   5.9322   2.9042
1.016509 0.999999999  -6.0276   1.0404 12923.4840   5.9580   2.9316
1.016479 0.999999999  -6.0130   1.0404 12998.1870   5.9764   2.9507
1.016465 0.999999999  -6.0036   1.0404 13046.6202   5.9883   2.9629
1.016450 0.999999999  -5.9877   1.0404 13129.1220   6.0083   2.9835
1.016416 0.999999999  -5.9714   1.0404 13212.0425   6.0288   3.0039
1.016399 0.999999999  -5.9610   1.0404 13265.6758   6.0419   3.0170
